dia_semana,hora_dia,local,ruido,categoria_tarefa,prazo_urgencia,dificuldade,interesse,horas_sono,horas_jejum,tempo_reacao_ms,target
2,6,0,2,0,9,5,3,4.032694044422685,3.6514984181891963,413.8663795744014,27
0,22,0,0,0,1,2,2,4.068753727000729,1.8626963737792064,366.25028795665634,53
5,11,0,1,0,10,1,3,9.226233709730963,4.087480708886854,289.3900706749201,46
0,21,0,2,0,10,1,5,6.013637782873822,1.9455571808946175,318.1032193313265,56
6,22,0,2,2,1,3,1,8.069973583296369,1.6939942985003706,259.3975474222297,27
5,23,1,1,1,10,1,2,9.490502446568911,2.823137684128383,232.1233552448797,63
4,21,1,2,0,7,3,3,8.784212076598578,2.2895891269945983,265.82852696879706,47
2,20,2,1,2,6,1,1,6.272086117683497,1.907815977576113,304.55974524384175,47
1,17,2,0,1,1,5,5,5.847744654367948,4.378141328562945,327.13466228909226,47
3,23,1,0,2,2,1,1,8.532050349832682,5.371079540284183,294.898768218531,52
6,15,0,2,1,2,3,1,8.762047313356364,4.714830796264253,330.03850391288296,19
2,16,0,0,2,8,3,5,5.417371580884086,3.2100104737869044,376.8448505342816,62
6,14,2,1,1,8,5,1,6.220022790266835,3.3052291039963357,332.03493495977,37
4,13,1,0,0,3,3,4,8.584247074555481,2.6841218732078094,257.95729099076704,70
0,18,2,1,3,3,1,2,8.801605829028174,0.6739719766108456,269.405237110167,54
5,11,1,2,1,4,3,1,9.454775239378044,3.3311592316898553,244.20907630977376,34
1,13,2,0,1,7,1,2,9.624487130928811,4.445822941385271,263.9971558933037,38
6,9,0,0,2,6,1,1,4.320365174016864,0.8203395704075428,360.6565818004184,40
6,12,0,1,2,9,4,1,8.569847110153939,4.8699856780905755,304.1126310455777,48
4,15,2,1,3,8,2,4,8.553387379648335,0.6267135219967637,259.7838177610167,58
2,8,2,1,1,4,5,3,4.36113557668848,0.5072979293266066,345.39028945962593,45
4,21,0,0,0,2,4,5,9.229105049025435,2.0688052668468506,260.68007543660815,64
3,11,0,1,2,4,1,3,6.9697190266561595,3.979444584382838,306.8881806910567,51
6,6,0,1,0,2,3,2,5.870543669584371,4.142107213721545,320.326236222658,27
1,9,2,1,2,3,3,2,6.310563896658815,1.826664508217423,346.21691028608427,54
3,21,0,2,3,5,5,4,4.193021982428112,3.49174802135793,360.34561675655925,38
1,6,1,2,2,2,4,1,8.36388776079404,0.8881877633569936,259.2897851524119,48
4,7,2,0,0,8,3,3,9.894627084261202,2.759411202223248,288.80073988397385,53
6,14,1,0,0,8,5,1,8.857918131234994,4.767976108595337,261.5348967503511,39
6,16,1,1,2,1,4,3,4.41848331436307,5.435037572405073,365.87977224817536,37
2,9,0,2,2,10,1,5,7.891273811817716,3.259205905094737,316.6183801894946,56
3,10,1,0,1,1,2,1,7.3054985871968725,5.190016020909762,314.2469207556862,47
6,21,0,2,2,1,4,4,4.525493172899228,2.81457674807995,378.3548158822012,31
5,6,0,0,2,6,3,4,9.1991553445422,4.679135386710582,279.99309732329806,43
3,19,0,0,0,1,3,5,7.44159154111252,1.4330994564928434,319.0934145804888,64
3,10,0,2,3,9,1,4,6.178855654277809,1.2227123441569372,283.8497205169261,62
1,21,0,2,3,10,1,4,5.647042007375216,4.226952093369842,341.74695780500946,49
2,19,1,1,1,1,5,3,7.287516828683159,2.7827109001426305,277.37946580989853,53
3,9,0,1,3,5,1,5,5.565870511584174,0.5651277940547047,311.7847919195875,60
4,17,1,2,0,7,5,1,5.315384791580202,4.608368792693803,368.08099106059035,25
4,21,0,2,1,1,2,5,6.135161784613045,2.748233700535155,342.39624045552824,41
6,13,0,2,2,2,1,4,4.12707842523627,2.44857449022777,391.9135774828845,31
4,22,0,1,3,6,3,4,6.92032212108802,4.51255267083718,338.7738464387061,46
4,9,0,1,1,5,1,1,9.567876307405935,3.0992166530075744,251.187398333994,52
3,21,0,1,0,6,1,4,4.057793875273605,0.9610125113214709,323.4456121850203,55
6,6,1,2,2,9,4,1,5.0233300391484,4.9057233472079975,375.5328409744203,40
5,21,2,0,3,4,4,2,4.394242664399027,1.559053545823005,334.322401118879,35
4,17,1,0,1,5,3,2,8.629399543626404,1.5060180002150876,254.55690410274352,58
2,6,1,1,3,3,1,5,7.770286831866458,0.9230869071026946,273.14820196354896,67
3,6,0,0,3,5,3,3,5.37125161698733,3.6057257344902025,371.81080855999954,51
0,19,0,1,3,1,2,1,4.180106089387141,4.235028091769724,351.41470439030763,36
6,15,2,2,3,7,1,3,9.123988401987557,1.6589166846943972,277.5427414011618,24
5,7,0,0,3,7,4,2,8.530930321459394,0.9942530556965526,271.5834795024416,41
3,13,2,1,1,6,5,4,8.964285522712633,2.946386596333273,290.5386760337894,55
6,11,0,1,1,5,1,2,9.615398162650564,5.712850270165012,314.1051748768299,31
3,10,2,0,1,7,4,5,8.064026959190965,1.6257705573194308,300.75214478902285,62
0,21,0,1,3,4,4,4,4.599509680141365,4.787920798720484,352.9216675230199,48
3,7,2,0,3,5,1,5,4.978604850689077,5.746952427142609,355.50912296943335,49
5,12,0,1,1,6,3,1,9.501314535235547,0.9511471403919773,258.1818054109329,37
4,18,0,2,0,7,4,3,6.402554041510854,3.1348482534840283,319.0290981327835,39
3,8,1,1,3,7,4,2,5.199480310644866,2.7946814119206924,343.6043017504658,64
1,12,1,1,3,5,3,3,6.962867390515363,1.492305088575152,317.16878512256886,61
6,13,0,1,2,1,2,2,7.044138816947747,1.9535343071115716,323.02348576221794,43
4,9,0,1,0,5,5,4,7.653285164802862,1.388733070481753,255.04884607386,54
3,22,0,0,3,9,3,2,8.287575802327744,1.1751762009764966,296.9452507684112,67
4,15,2,2,0,8,5,5,8.194817683830134,3.771170191752343,314.71575887570833,38
0,7,0,2,2,6,2,1,7.153200228823002,3.5447408719756117,307.1233653982409,36
6,11,2,0,3,2,2,3,9.273339253445984,2.594100504383906,287.1636558188559,43
1,18,0,0,0,4,4,5,7.84499783032176,0.8236791438538464,263.0260417153935,61
3,13,0,0,2,6,1,1,6.69618256676627,5.215283416079038,360.65318629511904,42
3,15,0,1,3,4,5,4,5.671493084461208,1.8021264427926578,305.8425464236568,55
1,23,0,0,1,8,3,2,5.729219876531258,4.406358090676957,371.32499022322145,44
3,19,1,2,2,3,5,4,9.274716230277892,2.636581144053206,273.167337759608,54
2,14,0,0,3,1,4,3,7.578942598415672,5.586045658602839,331.747041171869,44
2,9,0,2,3,10,4,2,4.034767942314333,4.884317516814792,387.7544967763961,41
6,13,0,2,3,6,3,4,8.35257003837193,4.513276550703882,330.8116828616734,23
6,7,0,2,0,3,4,1,8.864604734008498,4.158542312089353,320.3979483339866,11
1,16,0,1,3,5,4,2,6.2022275972716985,3.9968852347815287,313.4853734819805,46
0,16,1,0,0,6,2,4,6.950905470392419,5.930571250913135,324.7641738446545,61
5,7,0,1,1,10,3,5,4.760460577529825,3.5212873437524315,366.5087331254568,67
6,16,2,2,2,7,1,2,8.396586870509392,1.8682951583990863,300.84129104985954,22
6,15,0,1,0,5,3,1,5.525784629015581,0.9375783944341491,344.4095332600292,37
2,14,0,1,2,9,3,4,6.6625533871592735,3.569717590618341,358.269566686397,74
4,16,0,1,1,4,5,1,6.911996299319547,0.8583272460205928,279.9498995172204,48
3,8,0,0,3,7,2,2,5.0404508399963,1.5964115035353936,351.6204525431487,52
1,16,0,1,3,5,3,5,7.628530903521788,2.33429297777504,326.9564801300336,59
2,6,0,0,0,7,2,1,5.48389959210276,4.3312829863612965,330.5847161694078,40
4,19,0,0,2,6,5,5,9.544900599823453,0.591683211819661,264.6754101402422,51
1,19,2,1,1,5,4,4,5.709926900819651,0.60191501847867,345.74405007278267,61
2,17,2,2,2,1,3,3,9.802775062084828,5.428872766079852,268.3594132217818,21
5,15,1,0,1,5,3,4,6.4143448252783415,3.8633284548526863,331.2458471243551,63
2,10,1,1,0,5,3,4,9.109931182170715,2.9622095393248533,253.57121432874192,66
6,9,1,0,2,4,2,3,5.685192868442484,5.682799904517567,402.07879254461585,16
5,14,2,2,3,3,2,4,6.201124495829525,5.647493741441385,386.81706491320455,20
5,12,0,1,0,2,3,3,8.062045013027237,4.97752706466367,309.76198121879764,34
4,12,0,0,0,8,4,1,6.8460784768816145,3.630817230191698,326.4701673956372,48
2,11,2,0,0,10,1,1,8.543853795155927,3.166753848649204,258.7501564936935,60
3,8,1,0,2,7,2,2,7.178330578949563,0.9051568141098729,265.1401092800265,59
2,7,1,0,1,1,3,3,7.800120543814359,4.186570701611065,284.7624821350462,46
5,8,2,0,0,6,3,3,6.3821624107431205,4.324078921802587,347.70873198814763,29
2,13,0,0,2,5,1,2,5.632737291306432,4.130090383226761,318.6652090309665,38
2,9,0,0,3,2,4,3,7.653650467936914,5.249934829157525,289.9865880378659,41
4,16,2,2,0,7,5,3,4.74833312366727,1.9405207167344432,375.3676311748673,26
2,19,2,2,3,3,5,2,6.660541002531602,1.8734162095296558,312.3613770900488,34
2,9,0,1,1,3,1,2,4.9143862072756415,4.792911853806003,389.8053657278277,40
0,8,2,1,3,6,1,1,7.180387690461609,3.8108964745850678,334.624824365815,54
4,7,2,1,1,3,4,2,5.483888660779511,5.202344327623702,396.66855938051333,38
0,18,0,1,0,4,1,4,5.0146514008269225,1.24922142463337,327.7732421103158,59
5,13,0,0,3,3,5,4,5.6258477604753345,5.323518563904338,338.8241021566819,35
4,7,2,1,3,3,1,1,7.119330172402907,5.394306111299021,337.1820116303185,35
3,8,0,2,2,9,2,4,6.541500138770291,1.9411999878417296,308.3774463573948,61
1,14,0,2,0,6,5,3,6.1887732807048295,2.2801465651204937,318.2433508094522,34
2,8,0,1,3,8,1,4,9.335104003095667,2.0757809310498025,264.10678482183266,57
6,20,1,2,0,10,1,2,6.976727115271544,2.1624995937764204,275.388081968782,46
6,21,1,1,0,7,4,5,4.835180605717522,4.9622674527074,387.50197076261384,50
2,11,0,2,0,8,5,5,4.46572733740716,2.4251163031533944,344.8245830429886,36
6,12,0,1,1,3,4,4,8.171047162303395,3.63044751461552,325.055875665394,52
3,16,0,0,1,7,2,4,9.786826906433495,1.1761724748508193,272.66778161722414,59
4,18,0,0,0,7,4,3,7.2342756214441035,1.4767628699759765,260.59716154788373,51
3,20,1,1,3,4,5,4,7.7915375152089945,5.321045021545414,293.0285731386837,52
3,9,1,0,2,3,1,5,6.475838614579263,3.3953699159384416,332.97298329513364,67
2,17,0,2,0,1,1,2,5.030487752362256,5.958963856031514,361.1640845075314,29
6,10,1,2,1,4,5,2,4.526909131756719,4.101041717991427,386.8715708521996,21
1,21,2,0,3,2,1,3,5.444530676156758,0.8295167673021873,350.35449309939366,51
6,14,1,2,0,10,3,2,7.20265171639335,4.924674667838385,341.54171330011957,43
6,10,0,1,3,5,5,1,9.909468323936224,2.0518632411258366,247.27064221133963,37
1,13,2,0,0,9,1,2,5.911382201956271,4.469234747239478,333.19830715145247,54
4,11,1,0,2,8,2,1,4.942284429896283,0.7072036000828688,321.39638112643723,56
5,6,1,0,3,7,2,4,8.595397159076352,3.608965102402234,255.9754973438371,60
1,22,1,0,1,10,2,4,7.231237881835002,4.466178714680723,309.4995855077997,71
0,7,0,1,0,1,2,5,9.841410343323103,3.504130914466854,236.763309910038,63
0,12,0,1,0,2,2,2,5.246992441854935,2.211779966535173,375.19341027541594,54
4,11,0,2,0,9,1,5,8.586831833025167,4.439291045902863,310.5194719979467,51
3,9,0,0,1,6,3,3,9.902713092623259,0.6974675089227471,223.70990238410047,45
4,14,2,0,2,7,3,2,7.334387162489621,4.035335155408699,343.97857357034957,42
1,11,1,0,1,9,3,1,6.753353571692946,0.8129928181626571,331.4036153485974,76
6,19,0,1,1,6,4,2,6.348896574332295,5.530314572614062,334.0342543381767,30
6,9,0,0,3,8,2,1,4.628158469287411,0.9648472611622174,314.60605936218246,37
2,23,0,0,3,3,5,4,9.910400298331862,2.4343933866616863,276.55217570766365,54
2,18,1,2,2,2,4,5,6.230308750047261,4.831122473806941,368.5328428969767,40
0,23,1,1,2,10,2,5,5.662704239691664,0.901680095072372,296.51240800911535,83
6,17,0,2,1,6,3,5,9.879957214532903,1.1597883825504394,267.45052684405556,30
3,22,1,1,1,9,1,1,8.724710905495611,3.7218960811583224,263.1623719451818,77
6,12,0,0,1,10,5,1,9.481716934135422,1.6962371687898556,255.83009383128103,53
2,19,2,0,0,5,4,5,8.109527455692701,3.1861350467132,282.8555485128675,64
4,9,0,1,0,10,2,4,4.442185329041491,3.4700882465377663,360.88856597143575,74
0,21,0,1,2,4,4,4,5.944870258558947,1.1019384632972724,326.6255893481889,57
4,6,0,0,2,1,2,4,8.490778810319416,5.128197714293325,337.8506724514147,50
5,7,0,1,2,4,1,4,7.508154685793903,1.9115084876356319,280.7428096278057,46
5,8,0,2,1,1,1,2,5.698935912079716,4.452551508736185,382.1933320367424,13
6,8,2,1,3,8,5,3,7.038123382136189,5.42696668739179,339.27748269646764,28
5,23,0,0,1,4,3,5,9.41807043176635,2.066542416976737,246.11537631067208,47
1,16,0,0,2,9,2,1,9.914571564185522,2.4315008848665967,270.72213167984387,69
5,12,0,1,0,10,2,2,9.476748197990375,1.1914541317590954,217.5320035443178,58
0,17,0,0,1,6,3,2,4.694344194071978,3.176552267288156,337.6441815828311,46
6,21,0,0,0,2,2,2,5.6439587435635294,3.352657403451911,350.52114236600903,36
4,16,2,0,2,2,5,1,6.111952917160757,3.307974912475807,358.00220559311805,49
5,12,2,2,3,2,1,1,5.560152636567094,3.333713012141711,312.7139581938963,26
4,11,1,1,3,8,5,4,4.618790190710722,3.519964937056664,335.8370528700224,62
2,15,0,0,2,2,5,2,7.978303389881447,1.3661594216057382,249.13968458762866,49
3,19,0,0,2,9,4,3,9.812875592314507,2.3082068641674183,259.5146886269016,68
4,13,1,0,2,3,1,1,7.314810116721468,3.2189188416179277,311.46246000915744,55
5,12,2,1,2,9,5,5,8.951877091988816,0.6159276906676192,274.94296603106096,64
1,10,1,1,1,4,1,2,9.804825578665286,2.763900330272501,259.2472187792869,57
1,10,1,2,2,4,1,1,7.662136663260929,2.927830166190748,271.0247484029711,42
3,20,0,1,1,1,1,2,9.504415050720873,3.832817234877466,286.130154949367,53
1,8,1,2,0,2,2,5,4.01264761009065,2.9210391763703534,354.32114689554044,53
4,6,1,0,1,1,3,3,8.437696099086462,2.7121420602161868,257.5039287599043,63
4,14,2,2,0,8,1,3,6.549158746329883,1.602013783505999,302.3475242391773,35
6,18,1,1,3,2,2,5,9.484649297161752,4.828876107075014,265.0081697613014,49
5,11,0,2,1,3,2,3,5.2907102098197445,0.5280097356988549,316.0181888679391,28
4,8,2,2,3,7,5,1,9.474090326541752,4.606030923450404,251.4855073874042,21
2,12,2,0,0,7,3,5,5.662916533806005,2.0722807077382113,341.48384591219434,57
4,16,0,1,3,5,5,5,4.316653385021948,2.0614941819998,392.48749971193627,59
3,9,2,0,2,5,2,4,9.370855613763124,3.733232929080705,303.02543282467974,62
0,11,0,1,3,10,5,2,8.101351797745442,5.609186275751748,342.4396490802773,47
3,15,0,2,3,3,5,1,5.7306556937766615,5.477816868099526,359.10055893932343,20
0,14,0,0,3,10,2,5,4.221788437755595,0.5341261822771708,341.711276437623,70
0,8,0,2,3,3,5,5,8.848433176243223,4.632306514941948,271.40599010451473,32
0,13,0,0,0,6,4,2,5.424230551434174,1.2629419768822774,308.9627840520164,52
2,8,0,1,3,1,2,5,4.45336768505429,5.3864909577443365,420.61323218535875,29
4,12,2,2,2,10,3,1,6.674086344525864,1.116188480888396,287.06243430955357,47
2,20,0,2,3,4,1,1,9.80879165792847,5.833654071596001,283.76769404565846,23
3,9,0,0,2,3,3,2,4.507055659406846,4.214571575382184,345.1692617286083,38
2,11,0,2,2,5,4,2,5.494078941507779,0.8946356656989465,339.547621595545,37
2,7,0,2,2,10,1,1,9.74737504489537,4.704315493824651,242.14670336224518,41
4,20,1,0,0,10,3,1,9.105638248423702,3.960607457370689,263.4587308872004,72
0,6,1,1,1,4,2,4,5.733155672837529,2.1901090913035723,298.63375781102985,69
4,11,2,1,1,5,5,4,6.549654130773591,4.370377869158093,368.1738396826934,45
6,10,2,2,0,5,2,1,8.1827100387708,4.065892024884127,314.6093141957682,10
0,15,0,0,1,9,5,4,5.382532005995905,5.832611972431144,364.59041364876566,58
4,6,0,0,2,8,3,4,8.754347403254272,5.804403579419503,317.9044324487783,49
6,21,0,0,3,8,5,4,4.3838490819885125,1.7939239141588514,369.8039804363067,49
3,16,0,2,2,2,3,4,7.279335845368484,3.9349193439322536,333.5693872844787,44
0,21,0,2,3,7,1,2,4.796780856265418,5.067649990395557,406.02962580825033,10
0,22,1,1,1,1,2,2,9.364981487289064,1.8357742150703527,279.0539910497029,58
0,21,2,0,2,4,4,4,7.245062774320813,3.1259327691753533,324.57456979066467,56
6,21,0,2,2,6,3,1,8.670831025272934,3.1060605381570348,299.80083076635066,22
6,21,0,1,3,3,4,3,4.688200534861901,4.8529060604250995,360.0366603960812,25
3,14,0,0,3,5,3,5,7.341060078624869,3.7758613883933547,314.54811258277476,55
3,22,0,2,1,7,3,1,9.111513626973895,3.341963600063095,288.2675958693411,31
5,21,1,0,2,7,4,5,8.012820799086345,2.6463704916222657,293.83260300491827,60
2,11,1,0,3,1,3,5,4.791801956370064,2.9289156595058783,377.5921094605982,73
4,12,0,2,3,8,5,1,5.825966269823421,0.6089314402473267,322.42207624153554,33
6,22,2,1,3,8,3,1,8.184708157830766,1.581060643009918,256.12888687373965,43
1,21,1,2,2,2,2,1,6.832897000453417,5.634116445394253,323.1354191537361,30
0,7,0,1,3,9,5,2,5.087742460664858,3.530311084885749,387.043045166537,57
4,10,0,1,1,2,5,4,4.90654920477766,2.7852897238757355,320.9306978217937,51
0,23,1,2,2,10,1,3,7.881315673575804,5.553838764663668,336.8708191292514,46
6,9,0,0,1,6,4,1,8.446502098462673,5.716593028673205,285.6203133179906,30
6,16,0,2,2,5,5,3,5.039074382330508,2.647279664793156,346.041762900699,24
1,15,1,2,3,6,5,1,5.476568546840671,4.0620567721713385,337.1856594142017,33
